Time,irradiance,pressure,humidity,cloudiness,temperature,windSpeed,irradianceReal,realPower,capacity
2024-04-16 00:00:00,0,1006.5,76.5,0.0,13.3,2.7,0.0,0.0,100.0
2024-04-16 00:15:00,0,1006.5,78.2,0.0,13.1,2.8,0.0,0.0,100.0
2024-04-16 00:30:00,0,1006.5,80.0,0.0,13.0,2.8,0.0,0.0,100.0
2024-04-16 00:45:00,0,1006.5,82.0,0.0,12.8,2.8,0.0,0.0,100.0
2024-04-16 01:00:00,0,1006.5,84.2,0.0,12.7,2.8,0.0,0.0,100.0
2024-04-16 01:15:00,0,1006.5,86.2,0.0,12.5,2.9,0.0,0.0,100.0
2024-04-16 01:30:00,0,1006.5,88.0,0.0,12.4,2.9,0.0,0.0,100.0
2024-04-16 01:45:00,0,1006.5,89.3,0.0,12.2,2.9,0.0,0.0,100.0
2024-04-16 02:00:00,0,1006.5,90.4,0.0,12.1,2.8,0.0,0.0,100.0
2024-04-16 02:15:00,0,1006.5,91.7,0.0,11.9,2.8,0.0,0.0,100.0
2024-04-16 02:30:00,0,1006.5,92.9,0.0,11.8,2.8,0.0,0.0,100.0
2024-04-16 02:45:00,0,1006.5,94.0,0.0,11.7,2.7,0.0,0.0,100.0
2024-04-16 03:00:00,0,1006.5,94.5,0.0,11.5,2.7,0.0,0.0,100.0
2024-04-16 03:15:00,0,1006.5,94.8,0.0,11.4,2.6,0.0,0.0,100.0
2024-04-16 03:30:00,0,1006.5,95.1,0.0,11.3,2.5,0.0,0.0,100.0
2024-04-16 03:45:00,0,1006.5,95.2,0.0,11.2,2.5,0.0,0.0,100.0
2024-04-16 04:00:00,0,1006.5,94.8,0.0,11.1,2.5,0.0,0.0,100.0
2024-04-16 04:15:00,0,1006.5,94.6,0.0,10.9,2.5,0.0,0.0,100.0
2024-04-16 04:30:00,0,1006.5,94.5,0.0,10.8,2.4,0.0,0.0,100.0
2024-04-16 04:45:00,0,1006.5,94.7,0.0,10.7,2.4,0.0,0.0,100.0
2024-04-16 05:00:00,0,1006.5,95.0,0.0,10.7,2.4,0.0,0.0,100.0
2024-04-16 05:15:00,0,1006.5,95.2,0.0,10.7,2.3,0.0,0.0,100.0
2024-04-16 05:30:00,0,1006.5,95.6,0.0,10.6,2.3,0.0,0.66,100.0
2024-04-16 05:45:00,14,1006.5,95.8,0.0,10.6,2.3,15.0,2.25,100.0
2024-04-16 06:00:00,42,1006.5,93.8,0.0,10.8,2.3,39.0,4.49,100.0
2024-04-16 06:15:00,70,1006.5,92.7,0.0,10.9,2.3,78.0,7.87,100.0
2024-04-16 06:30:00,99,1006.5,90.7,0.0,11.1,2.3,118.0,11.75,100.0
2024-04-16 06:45:00,131,1006.5,85.8,0.0,11.5,2.4,176.0,18.14,100.0
2024-04-16 07:00:00,165,1006.5,83.7,0.0,11.8,2.4,227.0,24.88,100.0
2024-04-16 07:15:00,202,1006.5,83.2,0.0,11.9,2.4,295.0,33.59,100.0
2024-04-16 07:30:00,242,1006.5,83.2,0.0,12.1,2.5,355.0,41.47,100.0
2024-04-16 07:45:00,286,1006.5,83.2,0.0,12.2,2.5,418.0,50.7,100.0
2024-04-16 08:00:00,333,1006.5,84.1,0.0,12.4,2.6,478.0,58.64,100.0
2024-04-16 08:15:00,381,1006.5,85.3,0.0,12.5,2.7,537.0,66.88,100.0
2024-04-16 08:30:00,432,1006.5,86.0,0.0,12.6,2.8,586.0,74.06,100.0
2024-04-16 08:45:00,483,1006.5,85.9,0.0,12.6,2.9,637.0,81.75,100.0
2024-04-16 09:00:00,533,1006.5,84.9,0.0,12.7,3.1,672.0,87.26,100.0
2024-04-16 09:15:00,581,1006.5,83.7,0.0,12.8,3.2,714.0,93.69,100.0
2024-04-16 09:30:00,625,1006.5,82.3,0.0,12.9,3.4,746.0,98.23,100.0
2024-04-16 09:45:00,665,1006.5,80.6,0.0,13.0,3.5,789.0,100.0,100.0
2024-04-16 10:00:00,701,1006.5,79.3,0.0,13.1,3.6,823.0,100.0,100.0
2024-04-16 10:15:00,734,1006.5,78.2,0.0,13.2,3.7,855.0,100.0,100.0
2024-04-16 10:30:00,762,1006.5,77.4,0.0,13.3,3.9,878.0,100.0,100.0
2024-04-16 10:45:00,786,1006.5,76.7,0.0,13.4,4.0,913.0,100.0,100.0
2024-04-16 11:00:00,806,1006.5,76.5,0.0,13.4,4.1,942.0,100.0,100.0
2024-04-16 11:15:00,822,1006.5,76.2,0.0,13.5,4.3,968.0,100.0,100.0
2024-04-16 11:30:00,833,1006.5,75.9,0.0,13.5,4.4,985.0,100.0,100.0
2024-04-16 11:45:00,840,1006.5,74.9,0.0,13.5,4.5,1000.0,100.0,100.0
2024-04-16 12:00:00,843,1006.5,74.2,0.0,13.5,4.6,1008.0,100.0,100.0
2024-04-16 12:15:00,843,1006.5,74.3,0.0,13.5,4.6,1013.0,100.0,100.0
2024-04-16 12:30:00,838,1006.5,74.5,0.0,13.5,4.7,1005.0,100.0,100.0
2024-04-16 12:45:00,830,1006.5,74.2,0.0,13.5,4.8,980.0,100.0,100.0
2024-04-16 13:00:00,819,1006.5,73.6,0.0,13.6,4.8,973.0,100.0,100.0
2024-04-16 13:15:00,806,1006.5,73.0,0.0,13.6,4.8,950.0,100.0,100.0
2024-04-16 13:30:00,789,1006.5,72.4,0.0,13.6,4.9,917.0,100.0,100.0
2024-04-16 13:45:00,768,1006.5,71.7,0.0,13.6,4.9,878.0,100.0,100.0
2024-04-16 14:00:00,743,1006.5,70.8,0.0,13.6,4.8,848.0,100.0,100.0
2024-04-16 14:15:00,715,1006.5,69.6,0.0,13.7,4.8,836.0,100.0,100.0
2024-04-16 14:30:00,682,1006.5,68.0,0.0,13.8,4.8,810.0,100.0,100.0
2024-04-16 14:45:00,646,1006.5,66.7,0.0,13.8,4.7,775.0,98.81,100.0
2024-04-16 15:00:00,606,1006.5,65.7,0.0,13.9,4.7,693.0,88.9,100.0
2024-04-16 15:15:00,562,1006.5,64.8,0.0,13.9,4.6,722.0,87.96,100.0
2024-04-16 15:30:00,515,1006.5,63.8,0.0,14.0,4.5,664.0,81.07,100.0
2024-04-16 15:45:00,465,1006.5,63.1,0.0,14.0,4.4,605.0,71.91,100.0
2024-04-16 16:00:00,411,1006.5,62.5,0.0,14.1,4.3,548.0,45.23,100.0
2024-04-16 16:15:00,355,1006.5,62.0,0.0,14.1,4.2,481.0,44.91,100.0
2024-04-16 16:30:00,300,1006.5,61.7,0.0,14.1,4.1,407.0,45.11,100.0
2024-04-16 16:45:00,247,1006.5,61.4,0.0,14.1,4.0,366.0,38.74,100.0
2024-04-16 17:00:00,198,1006.5,61.4,0.0,14.0,3.9,296.0,30.71,100.0
2024-04-16 17:15:00,153,1006.5,61.7,0.0,14.0,3.8,236.0,22.15,100.0
2024-04-16 17:30:00,113,1006.5,61.9,0.0,13.9,3.7,184.0,15.97,100.0
2024-04-16 17:45:00,80,1006.5,61.9,0.0,13.9,3.6,127.0,9.19,100.0
2024-04-16 18:00:00,51,1006.5,61.8,0.0,13.8,3.4,70.0,5.74,100.0
2024-04-16 18:15:00,29,1006.5,61.6,0.0,13.8,3.3,27.0,2.89,100.0
2024-04-16 18:30:00,10,1006.5,61.3,0.0,13.7,3.2,5.0,1.23,100.0
2024-04-16 18:45:00,0,1006.5,61.0,0.0,13.7,3.1,0.0,0.0,100.0
2024-04-16 19:00:00,0,1006.5,60.7,0.0,13.7,3.0,0.0,0.0,100.0
2024-04-16 19:15:00,0,1006.5,60.6,0.0,13.7,2.9,0.0,0.0,100.0
2024-04-16 19:30:00,0,1006.5,60.7,0.0,13.7,2.8,0.0,0.0,100.0
2024-04-16 19:45:00,0,1006.5,60.9,0.0,13.7,2.7,0.0,0.0,100.0
2024-04-16 20:00:00,0,1006.5,60.6,0.0,13.7,2.6,0.0,0.0,100.0
2024-04-16 20:15:00,0,1006.5,59.8,0.0,13.8,2.5,0.0,0.0,100.0
2024-04-16 20:30:00,0,1006.5,58.8,0.0,13.8,2.5,0.0,0.0,100.0
2024-04-16 20:45:00,0,1006.5,58.0,0.0,13.8,2.4,0.0,0.0,100.0
2024-04-16 21:00:00,0,1006.5,57.6,0.0,13.8,2.3,0.0,0.0,100.0
2024-04-16 21:15:00,0,1006.5,57.6,0.0,13.8,2.3,0.0,0.0,100.0
2024-04-16 21:30:00,0,1006.5,57.7,0.0,13.8,2.2,0.0,0.0,100.0
2024-04-16 21:45:00,0,1006.5,57.6,0.0,13.8,2.2,0.0,0.0,100.0
2024-04-16 22:00:00,0,1006.5,57.0,0.0,13.8,2.2,0.0,0.0,100.0
2024-04-16 22:15:00,0,1006.5,55.9,0.0,13.8,2.1,0.0,0.0,100.0
2024-04-16 22:30:00,0,1006.5,54.4,0.0,13.8,2.1,0.0,0.0,100.0
2024-04-16 22:45:00,0,1006.5,52.8,0.0,13.7,2.1,0.0,0.0,100.0
2024-04-16 23:00:00,0,1006.5,51.2,0.0,13.7,2.1,0.0,0.0,100.0
2024-04-16 23:15:00,0,1006.5,49.5,0.0,13.6,2.1,0.0,0.0,100.0
2024-04-16 23:30:00,0,1006.5,47.6,0.0,13.5,2.1,0.0,0.0,100.0
2024-04-16 23:45:00,0,1006.5,45.8,0.0,13.5,2.0,0.0,0.0,100.0
2024-04-17 00:00:00,0,1006.5,49.9,0.0,13.2,2.3,0.0,0.0,100.0
2024-04-17 00:15:00,0,1006.5,52.4,0.0,13.0,2.3,0.0,0.0,100.0
2024-04-17 00:30:00,0,1006.5,54.2,0.0,12.8,2.3,0.0,0.0,100.0
2024-04-17 00:45:00,0,1006.5,55.6,0.0,12.7,2.3,0.0,0.0,100.0
2024-04-17 01:00:00,0,1006.5,56.9,0.0,12.6,2.3,0.0,0.0,100.0
2024-04-17 01:15:00,0,1006.5,58.2,0.0,12.5,2.3,0.0,0.0,100.0
2024-04-17 01:30:00,0,1006.5,59.1,0.0,12.3,2.4,0.0,0.0,100.0
2024-04-17 01:45:00,0,1006.5,59.4,0.0,12.2,2.4,0.0,0.0,100.0
2024-04-17 02:00:00,0,1006.5,60.3,0.0,12.0,2.4,0.0,0.0,100.0
2024-04-17 02:15:00,0,1006.5,61.7,0.0,11.9,2.4,0.0,0.0,100.0
2024-04-17 02:30:00,0,1006.5,63.1,0.0,11.8,2.4,0.0,0.0,100.0
2024-04-17 02:45:00,0,1006.5,64.5,0.0,11.6,2.4,0.0,0.0,100.0
2024-04-17 03:00:00,0,1006.5,65.0,0.0,11.6,2.4,0.0,0.0,100.0
2024-04-17 03:15:00,0,1006.5,64.4,0.0,11.5,2.4,0.0,0.0,100.0
2024-04-17 03:30:00,0,1006.5,63.3,0.0,11.5,2.4,0.0,0.0,100.0
2024-04-17 03:45:00,0,1006.5,62.6,0.0,11.5,2.4,0.0,0.0,100.0
2024-04-17 04:00:00,0,1006.5,62.3,0.0,11.4,2.4,0.0,0.0,100.0
2024-04-17 04:15:00,0,1006.5,62.0,0.0,11.4,2.4,0.0,0.0,100.0
2024-04-17 04:30:00,0,1006.5,61.9,0.0,11.4,2.4,0.0,0.0,100.0
2024-04-17 04:45:00,0,1006.5,62.2,0.0,11.3,2.4,0.0,0.0,100.0
2024-04-17 05:00:00,0,1006.5,62.9,0.0,11.2,2.4,0.0,0.0,100.0
2024-04-17 05:15:00,0,1006.5,63.8,0.0,11.0,2.3,0.0,0.0,100.0
2024-04-17 05:30:00,0,1006.5,64.8,0.0,10.9,2.3,0.0,0.89,100.0
2024-04-17 05:45:00,16,1006.5,66.1,0.0,10.8,2.3,21.0,2.88,100.0
2024-04-17 06:00:00,43,1006.5,67.6,0.0,10.7,2.3,61.0,5.78,100.0
2024-04-17 06:15:00,71,1006.5,69.0,0.0,10.6,2.3,117.0,11.38,100.0
2024-04-17 06:30:00,99,1006.5,70.1,0.0,10.7,2.3,118.0,11.77,100.0
2024-04-17 06:45:00,130,1006.5,70.9,0.0,10.7,2.3,147.0,14.11,100.0
2024-04-17 07:00:00,164,1006.5,71.4,0.0,11.0,2.3,222.0,25.15,100.0
2024-04-17 07:15:00,201,1006.5,71.5,0.0,11.3,2.2,331.0,35.78,100.0
2024-04-17 07:30:00,241,1006.5,71.3,0.0,11.6,2.2,386.0,42.29,100.0
2024-04-17 07:45:00,285,1006.5,70.5,0.0,12.1,2.1,457.0,51.11,100.0
2024-04-17 08:00:00,332,1006.5,69.4,0.0,12.7,2.1,499.0,57.8,100.0
2024-04-17 08:15:00,381,1006.5,67.9,0.0,13.3,2.1,561.0,64.96,100.0
2024-04-17 08:30:00,431,1006.5,66.5,0.0,13.9,2.0,588.0,71.82,100.0
2024-04-17 08:45:00,483,1006.5,65.5,0.0,14.4,2.0,647.0,78.76,100.0
2024-04-17 09:00:00,533,1006.5,63.6,0.0,15.0,2.0,702.0,81.49,100.0
2024-04-17 09:15:00,581,1006.6,61.5,0.0,15.4,2.0,729.0,86.56,100.0
2024-04-17 09:30:00,626,1006.6,60.5,0.0,15.9,2.0,698.0,84.59,100.0
2024-04-17 09:45:00,666,1006.6,60.0,0.0,16.3,2.0,811.0,99.61,100.0
2024-04-17 10:00:00,702,1006.6,58.3,0.0,16.7,2.1,765.0,100.0,100.0
2024-04-17 10:15:00,734,1006.6,56.8,0.0,17.0,2.1,868.0,100.0,100.0
2024-04-17 10:30:00,762,1006.6,55.3,0.0,17.2,2.2,900.0,100.0,100.0
2024-04-17 10:45:00,786,1006.6,53.7,0.0,17.3,2.3,861.0,100.0,100.0
2024-04-17 11:00:00,805,1006.6,51.8,0.0,17.4,2.4,903.0,100.0,100.0
2024-04-17 11:15:00,820,1006.6,50.1,0.0,17.4,2.4,979.0,100.0,100.0
2024-04-17 11:30:00,831,1006.6,48.9,0.0,17.3,2.5,990.0,100.0,100.0
2024-04-17 11:45:00,838,1006.6,48.1,0.0,17.3,2.6,1010.0,100.0,100.0
2024-04-17 12:00:00,840,1006.6,47.7,0.0,17.2,2.6,1032.0,100.0,100.0
2024-04-17 12:15:00,839,1006.6,47.3,0.0,17.2,2.7,896.0,100.0,100.0
2024-04-17 12:30:00,834,1006.6,46.4,0.0,17.1,2.8,992.0,100.0,100.0
2024-04-17 12:45:00,826,1006.6,45.6,0.0,17.0,2.8,974.0,100.0,100.0
2024-04-17 13:00:00,815,1006.6,45.0,0.0,17.0,2.9,956.0,100.0,100.0
2024-04-17 13:15:00,801,1006.6,44.5,0.0,17.0,3.0,931.0,100.0,100.0
2024-04-17 13:30:00,784,1006.6,44.1,0.0,16.9,3.1,899.0,100.0,100.0
2024-04-17 13:45:00,763,1006.6,43.9,0.0,16.9,3.2,862.0,100.0,100.0
2024-04-17 14:00:00,738,1006.6,43.9,0.0,16.9,3.3,822.0,100.0,100.0
2024-04-17 14:15:00,710,1006.6,43.8,0.0,16.9,3.3,797.0,99.35,100.0
2024-04-17 14:30:00,677,1006.6,43.5,0.0,17.0,3.4,759.0,98.21,100.0
2024-04-17 14:45:00,641,1006.6,43.0,0.0,17.0,3.4,721.0,93.34,100.0
2024-04-17 15:00:00,601,1006.6,42.5,0.0,17.1,3.4,695.0,88.58,100.0
2024-04-17 15:15:00,557,1006.6,42.1,0.0,17.1,3.4,640.0,81.92,100.0
2024-04-17 15:30:00,510,1006.6,41.6,0.0,17.2,3.3,617.0,76.28,100.0
2024-04-17 15:45:00,461,1006.6,41.2,0.0,17.2,3.3,578.0,67.18,100.0
2024-04-17 16:00:00,407,1006.6,41.3,0.0,17.3,3.3,523.0,46.41,100.0
2024-04-17 16:15:00,352,1006.6,41.4,0.0,17.3,3.2,467.0,46.25,100.0
2024-04-17 16:30:00,297,1006.6,41.6,0.0,17.3,3.1,414.0,43.19,100.0
2024-04-17 16:45:00,245,1006.6,41.8,0.0,17.4,3.1,344.0,36.03,100.0
2024-04-17 17:00:00,196,1006.6,42.2,0.0,17.4,3.0,284.0,28.71,100.0
2024-04-17 17:15:00,151,1006.6,43.1,0.0,17.4,2.9,224.0,19.45,100.0
2024-04-17 17:30:00,112,1006.6,44.5,0.0,17.3,2.9,146.0,13.78,100.0
2024-04-17 17:45:00,79,1006.6,45.9,0.0,17.2,2.8,93.0,8.8,100.0
2024-04-17 18:00:00,51,1006.6,46.8,0.0,17.1,2.8,57.0,5.71,100.0
2024-04-17 18:15:00,29,1006.6,47.4,0.0,17.1,2.8,26.0,3.01,100.0
2024-04-17 18:30:00,11,1006.6,48.1,0.0,17.0,2.8,4.0,1.16,100.0
2024-04-17 18:45:00,0,1006.6,49.2,0.0,16.8,2.8,0.0,0.0,100.0
2024-04-17 19:00:00,0,1006.6,50.5,0.0,16.8,2.9,0.0,0.0,100.0
2024-04-17 19:15:00,0,1006.6,51.5,0.0,16.8,2.9,0.0,0.0,100.0
2024-04-17 19:30:00,0,1006.6,52.4,0.0,16.8,2.9,0.0,0.0,100.0
2024-04-17 19:45:00,0,1006.6,53.8,0.0,16.7,3.0,0.0,0.0,100.0
2024-04-17 20:00:00,0,1006.6,56.1,0.0,16.4,3.0,0.0,0.0,100.0
2024-04-17 20:15:00,0,1006.6,57.3,0.0,16.2,3.1,0.0,0.0,100.0
2024-04-17 20:30:00,0,1006.6,57.7,0.0,16.1,3.2,0.0,0.0,100.0
2024-04-17 20:45:00,0,1006.5,59.0,0.0,15.9,3.2,0.0,0.0,100.0
2024-04-17 21:00:00,0,1006.5,62.4,0.0,15.5,3.3,0.0,0.0,100.0
2024-04-17 21:15:00,0,1006.5,67.0,0.0,14.9,3.4,0.0,0.0,100.0
2024-04-17 21:30:00,0,1006.5,71.0,0.0,14.4,3.5,0.0,0.0,100.0
2024-04-17 21:45:00,0,1006.5,75.2,0.0,14.0,3.6,0.0,0.0,100.0
2024-04-17 22:00:00,0,1006.5,78.3,0.0,13.7,3.7,0.0,0.0,100.0
2024-04-17 22:15:00,0,1006.5,79.7,0.0,13.4,3.7,0.0,0.0,100.0
2024-04-17 22:30:00,0,1006.5,80.3,0.0,13.2,3.8,0.0,0.0,100.0
2024-04-17 22:45:00,0,1006.5,80.8,0.0,13.1,3.9,0.0,0.0,100.0
2024-04-17 23:00:00,0,1006.5,81.1,0.0,12.9,4.0,0.0,0.0,100.0
2024-04-17 23:15:00,0,1006.5,81.2,0.0,12.8,4.1,0.0,0.0,100.0
2024-04-17 23:30:00,0,1006.5,81.5,0.0,12.6,4.1,0.0,0.0,100.0
2024-04-17 23:45:00,0,1006.5,81.6,0.0,12.5,4.2,0.0,0.0,100.0
2024-04-18 00:00:00,0,1006.5,79.7,0.0,12.4,4.1,0.0,0.0,100.0
2024-04-18 00:15:00,0,1006.5,79.9,0.0,12.3,4.1,0.0,0.0,100.0
2024-04-18 00:30:00,0,1006.5,80.1,0.0,12.2,4.0,0.0,0.0,100.0
2024-04-18 00:45:00,0,1006.5,80.1,0.0,12.1,4.0,0.0,0.0,100.0
2024-04-18 01:00:00,0,1006.5,80.2,0.0,12.0,4.0,0.0,0.0,100.0
2024-04-18 01:15:00,0,1006.5,80.2,0.0,11.9,4.0,0.0,0.0,100.0
2024-04-18 01:30:00,0,1006.5,80.3,0.0,11.8,4.0,0.0,0.0,100.0
2024-04-18 01:45:00,0,1006.5,80.3,0.0,11.7,4.0,0.0,0.0,100.0
2024-04-18 02:00:00,0,1006.5,80.5,0.0,11.6,3.9,0.0,0.0,100.0
2024-04-18 02:15:00,0,1006.5,80.7,0.0,11.5,3.9,0.0,0.0,100.0
2024-04-18 02:30:00,0,1006.5,80.7,0.0,11.5,3.9,0.0,0.0,100.0
2024-04-18 02:45:00,0,1006.5,80.7,0.0,11.4,3.9,0.0,0.0,100.0
2024-04-18 03:00:00,0,1006.5,80.7,0.0,11.3,3.8,0.0,0.0,100.0
2024-04-18 03:15:00,0,1006.5,80.7,0.0,11.2,3.8,0.0,0.0,100.0
2024-04-18 03:30:00,0,1006.5,80.7,0.0,11.2,3.8,0.0,0.0,100.0
2024-04-18 03:45:00,0,1006.5,80.6,0.0,11.1,3.8,0.0,0.0,100.0
2024-04-18 04:00:00,0,1006.5,80.7,0.0,11.1,3.7,0.0,0.0,100.0
2024-04-18 04:15:00,0,1006.5,80.7,0.0,11.0,3.6,0.0,0.0,100.0
2024-04-18 04:30:00,0,1006.5,80.7,0.0,11.0,3.6,0.0,0.0,100.0
2024-04-18 04:45:00,0,1006.5,80.9,0.0,11.0,3.5,0.0,0.0,100.0
2024-04-18 05:00:00,0,1006.5,81.1,0.0,10.9,3.5,0.0,0.0,100.0
2024-04-18 05:15:00,0,1006.5,81.7,0.0,10.7,3.4,0.0,0.0,100.0
2024-04-18 05:30:00,0,1006.5,82.0,0.0,10.7,3.4,1.0,0.67,100.0
2024-04-18 05:45:00,19,1006.5,82.2,0.0,10.7,3.3,18.0,2.53,100.0
2024-04-18 06:00:00,45,1006.5,82.3,0.0,10.7,3.3,32.0,3.9,100.0
2024-04-18 06:15:00,73,1006.5,82.2,0.0,10.8,3.2,77.0,7.96,100.0
2024-04-18 06:30:00,102,1006.5,82.0,0.0,11.0,3.1,112.0,11.55,100.0
2024-04-18 06:45:00,132,1006.5,81.7,0.0,11.3,3.0,159.0,16.91,100.0
2024-04-18 07:00:00,165,1006.5,81.2,0.0,11.6,2.9,212.0,22.77,100.0
2024-04-18 07:15:00,202,1006.5,80.4,0.0,12.0,2.8,268.0,30.24,100.0
2024-04-18 07:30:00,241,1006.5,79.3,0.0,12.6,2.7,324.0,37.03,100.0
2024-04-18 07:45:00,284,1006.5,77.9,0.0,13.2,2.6,387.0,45.42,100.0
2024-04-18 08:00:00,329,1006.5,76.0,0.0,13.8,2.4,434.0,52.43,100.0
2024-04-18 08:15:00,377,1006.5,74.0,0.0,14.3,2.3,491.0,60.16,100.0
2024-04-18 08:30:00,425,1006.5,72.7,0.0,14.8,2.2,528.0,65.89,100.0
2024-04-18 08:45:00,475,1006.5,72.0,0.0,15.4,2.1,557.0,73.73,100.0
2024-04-18 09:00:00,523,1006.5,71.4,0.0,16.1,2.1,626.0,68.03,100.0
2024-04-18 09:15:00,570,1006.6,70.6,0.0,16.7,2.0,679.0,67.22,100.0
2024-04-18 09:30:00,613,1006.6,69.4,0.0,17.3,2.0,697.0,69.64,100.0
2024-04-18 09:45:00,651,1006.6,66.4,0.0,17.8,2.0,739.0,76.2,100.0
2024-04-18 10:00:00,686,1006.6,63.4,0.0,18.3,2.0,769.0,63.29,100.0
2024-04-18 10:15:00,717,1006.6,61.0,0.0,18.6,2.0,799.0,95.95,100.0
2024-04-18 10:30:00,744,1006.6,58.1,0.0,19.0,2.0,749.0,82.42,100.0
2024-04-18 10:45:00,766,1006.6,54.2,0.0,19.2,2.0,786.0,97.1,100.0
2024-04-18 11:00:00,785,1006.6,50.7,0.0,19.4,2.0,893.0,100.0,100.0
2024-04-18 11:15:00,800,1006.6,48.2,0.0,19.4,2.0,899.0,100.0,100.0
2024-04-18 11:30:00,810,1006.6,46.7,0.0,19.3,2.1,916.0,100.0,100.0
2024-04-18 11:45:00,817,1006.6,46.3,0.0,19.2,2.1,926.0,100.0,100.0
2024-04-18 12:00:00,819,1006.6,46.3,0.0,19.0,2.2,908.0,100.0,100.0
2024-04-18 12:15:00,818,1006.6,46.7,0.0,18.9,2.3,927.0,100.0,100.0
2024-04-18 12:30:00,813,1006.6,46.9,0.0,18.7,2.4,924.0,100.0,100.0
2024-04-18 12:45:00,805,1006.6,46.7,0.0,18.6,2.5,911.0,100.0,100.0
2024-04-18 13:00:00,795,1006.6,46.3,0.0,18.6,2.6,895.0,100.0,100.0
2024-04-18 13:15:00,782,1006.6,45.9,0.0,18.5,2.8,869.0,100.0,100.0
2024-04-18 13:30:00,765,1006.6,45.8,0.0,18.5,3.0,847.0,100.0,100.0
2024-04-18 13:45:00,745,1006.6,45.6,0.0,18.4,3.1,811.0,100.0,100.0
2024-04-18 14:00:00,722,1006.6,45.5,0.0,18.2,3.3,788.0,99.51,100.0
2024-04-18 14:15:00,695,1006.6,45.7,0.0,18.1,3.4,757.0,96.55,100.0
2024-04-18 14:30:00,663,1006.6,46.1,0.0,18.0,3.5,724.0,91.64,100.0
2024-04-18 14:45:00,628,1006.6,47.1,0.0,17.9,3.6,680.0,77.01,100.0
2024-04-18 15:00:00,589,1006.5,48.8,0.0,17.7,3.7,643.0,76.66,100.0
2024-04-18 15:15:00,547,1006.5,50.3,0.0,17.5,3.7,602.0,70.36,100.0
2024-04-18 15:30:00,501,1006.5,51.7,0.0,17.3,3.8,553.0,66.66,100.0
2024-04-18 15:45:00,453,1006.5,52.9,0.0,17.2,3.8,499.0,59.15,100.0
2024-04-18 16:00:00,401,1006.5,54.0,0.0,17.0,3.8,458.0,52.26,100.0
2024-04-18 16:15:00,347,1006.5,56.6,0.0,16.7,3.8,399.0,44.75,100.0
2024-04-18 16:30:00,293,1006.5,57.9,0.0,16.6,3.8,350.0,38.3,100.0
2024-04-18 16:45:00,242,1006.5,58.8,0.0,16.6,3.8,288.0,30.52,100.0
2024-04-18 17:00:00,194,1006.5,59.4,0.0,16.7,3.8,237.0,24.52,100.0
2024-04-18 17:15:00,150,1006.5,60.3,0.0,16.8,3.8,180.0,17.97,100.0
2024-04-18 17:30:00,112,1006.5,61.3,0.0,16.9,3.7,135.0,13.09,100.0
2024-04-18 17:45:00,79,1006.5,62.9,0.0,16.9,3.7,88.0,8.78,100.0
2024-04-18 18:00:00,52,1006.5,65.5,0.0,16.4,3.7,56.0,5.76,100.0
2024-04-18 18:15:00,29,1006.5,67.1,0.0,16.2,3.6,26.0,3.13,100.0
2024-04-18 18:30:00,12,1006.5,68.3,0.0,16.2,3.6,6.0,1.18,100.0
2024-04-18 18:45:00,0,1006.5,69.6,0.0,16.1,3.6,0.0,0.0,100.0
2024-04-18 19:00:00,0,1006.5,71.1,0.0,16.1,3.6,0.0,0.0,100.0
2024-04-18 19:15:00,0,1006.5,72.2,0.0,16.1,3.5,0.0,0.0,100.0
2024-04-18 19:30:00,0,1006.5,72.9,0.0,16.2,3.5,0.0,0.0,100.0
2024-04-18 19:45:00,0,1006.6,73.6,0.0,16.2,3.5,0.0,0.0,100.0
2024-04-18 20:00:00,0,1006.6,74.7,0.0,16.2,3.4,0.0,0.0,100.0
2024-04-18 20:15:00,0,1006.6,76.6,0.0,16.1,3.4,0.0,0.0,100.0
2024-04-18 20:30:00,0,1006.6,78.0,0.0,16.1,3.4,0.0,0.0,100.0
2024-04-18 20:45:00,0,1006.6,78.1,0.0,16.1,3.4,0.0,0.0,100.0
2024-04-18 21:00:00,0,1006.6,80.0,0.0,15.8,3.4,0.0,0.0,100.0
2024-04-18 21:15:00,0,1006.6,81.3,0.0,15.6,3.4,0.0,0.0,100.0
2024-04-18 21:30:00,0,1006.5,82.8,0.0,15.4,3.5,0.0,0.0,100.0
2024-04-18 21:45:00,0,1006.5,83.8,0.0,15.2,3.5,0.0,0.0,100.0
2024-04-18 22:00:00,0,1006.5,84.3,0.0,15.0,3.5,0.0,0.0,100.0
2024-04-18 22:15:00,0,1006.5,84.8,0.0,14.8,3.5,0.0,0.0,100.0
2024-04-18 22:30:00,0,1006.5,85.2,0.0,14.6,3.6,0.0,0.0,100.0
2024-04-18 22:45:00,0,1006.5,85.5,0.0,14.4,3.6,0.0,0.0,100.0
2024-04-18 23:00:00,0,1006.5,85.6,0.0,14.3,3.6,0.0,0.0,100.0
2024-04-18 23:15:00,0,1006.5,85.5,0.0,14.1,3.6,0.0,0.0,100.0
2024-04-18 23:30:00,0,1006.5,85.4,0.0,14.0,3.7,0.0,0.0,100.0
2024-04-18 23:45:00,0,1006.5,85.3,0.0,13.9,3.7,0.0,0.0,100.0
2024-04-20 00:00:00,0,1006.5,62.8,0.0,14.7,3.5,0.0,0.0,100.0
2024-04-20 00:15:00,0,1006.4,64.2,0.0,14.7,3.5,0.0,0.0,100.0
